MIDA_PER_ID|CASE_OUTCOME|STATUS|CASE_APPLIC_DTE
1886651|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1905388|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
1930527|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1932044|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
1933561|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1943486|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
1948460|GRANT I.L.R. (KOL TEST)||03/01/2010 00:00
1948474|GRANT I.L.R. (KOL TEST)||03/01/2010 00:00
1954670|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1959004|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1959353|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1966599|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1968140|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1975495|GRANT I.L.R. (KOL TEST)||07/04/2015 00:00
1975898|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1984854|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1985216|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1985510|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1985512|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2003116|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2008591|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2014545|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2017340|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2018692|GRANT I.L.R. (KOL TEST)||21/06/2014 00:00
2035321|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2037627|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2039953|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2055967|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2065977|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2070303|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2081887|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2085185|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2086270|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2138971|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
2144225|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2145456|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
2147088|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2147463|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2152750|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2154769|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2170620|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2172997|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2185557|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
2189699|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2197506|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2202260|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2205204|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2210524|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2222526|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2235111|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2246600|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2247933|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2251770|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2251772|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2256363|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
2258849|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2261202|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
2276733|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
2286259|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2287750|GRANT I.L.R. (KOL TEST)||09/04/2015 00:00
2300051|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2313404|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2318111|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
2320354|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2320477|GRANT I.L.R. (KOL TEST)||08/04/2015 00:00
2321113|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2330187|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2336245|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2349645|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2369421|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2385998|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2386607|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2402261|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2406153|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
2418186|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2420529|GRANT I.L.R. (KOL TEST)||03/01/2010 00:00
2423843|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2426503|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2443239|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2464351|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2480350|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2483837|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2490883|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2491099|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2499024|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2500682|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2502776|GRANT I.L.R. (KOL TEST)||09/04/2015 00:00
2532597|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2555430|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2559485|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2567219|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
2589936|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2596707|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2602456|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2610016|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
